year,state,Auto,Bus,Truck,Motorcycle
1901,New Mexico,10,0,0,0
1901,New York,954,0,0,0
1901,North Carolina,100,0,0,0
1901,North Dakota,150,0,0,0
1901,Ohio,880,0,0,0
1901,Oklahoma,20,0,0,0
1901,Oregon,160,0,0,0
1901,Pennsylvania,2750,0,0,0
1901,Rhode Island,260,0,0,0
1901,South Carolina,70,0,0,0
1901,South Dakota,100,0,0,0
1901,Tennessee,70,0,0,0
1901,Texas,230,0,0,0
1901,Utah,40,0,0,0
1901,Vermont,70,0,0,0
1901,Virginia,90,0,0,0
1901,Washington,230,0,0,0
1901,West Virginia,40,0,0,0
1901,Wisconsin,320,0,0,0
1901,Wyoming,10,0,0,0
1902,Alabama,90,0,0,0
1902,Alaska,0,0,0,0
1902,Arizona,50,0,0,0
1902,Arkansas,70,0,0,0
1902,California,2290,0,0,0
1902,Colorado,240,0,0,0
1902,Connecticut,470,0,0,0
1902,Delaware,60,0,0,0
1902,District of Columbia,300,0,0,0
1902,Florida,30,0,0,0
1902,Georgia,230,0,0,0
1902,Hawaii,0,0,0,0
1902,Idaho,20,0,0,0
1902,Illinois,1770,0,0,0
1902,Indiana,500,0,0,0
1902,Iowa,80,0,0,0
1902,Kansas,580,0,0,0
1902,Kentucky,130,0,0,0
1902,Louisiana,190,0,0,0
1902,Maine,210,0,0,0
1902,Maryland,250,0,0,0
1902,Massachusetts,1730,0,0,0
1902,Michigan,1040,0,0,0
1902,Minnesota,760,0,0,0
1902,Mississippi,70,0,0,0
1902,Missouri,530,0,0,0
1902,Montana,60,0,0,0
1902,Nebraska,188,0,0,0
1902,Nevada,20,0,0,0
1902,New Hampshire,150,0,0,0
1902,New Jersey,930,0,0,0
1902,New Mexico,20,0,0,0
1902,New York,1082,0,0,0
1902,North Carolina,160,0,0,0
1902,North Dakota,230,0,0,0
1902,Ohio,1390,0,0,0
1902,Oklahoma,30,0,0,0
1902,Oregon,260,0,0,0
1902,Pennsylvania,4370,0,0,0
1902,Rhode Island,410,0,0,0
1902,South Carolina,110,0,0,0
1902,South Dakota,170,0,0,0
1902,Tennessee,110,0,0,0
1902,Texas,360,0,0,0
1902,Utah,70,0,0,0
1902,Vermont,110,0,0,0
1902,Virginia,150,0,0,0
1902,Washington,360,0,0,0
1902,West Virginia,60,0,0,0
1902,Wisconsin,500,0,0,0
1902,Wyoming,10,0,0,0
1903,Alabama,110,0,0,0
1903,Alaska,0,0,0,0
1903,Arizona,60,0,0,0
1903,Arkansas,80,0,0,0
1903,California,2770,0,0,0
1903,Colorado,290,0,0,0
1903,Connecticut,570,0,0,0
1903,Delaware,70,0,0,0
1903,District of Columbia,370,0,0,0
1903,Florida,40,0,0,0
1903,Georgia,280,0,0,0
1903,Hawaii,0,0,0,0
1903,Idaho,30,0,0,0
1903,Illinois,2140,0,0,0
1903,Indiana,610,0,0,0
1903,Iowa,100,0,0,0
1903,Kansas,700,0,0,0
1903,Kentucky,160,0,0,0
1903,Louisiana,230,0,0,0
1903,Maine,250,0,0,0
1903,Maryland,300,0,0,0
1903,Massachusetts,2080,0,0,0
1903,Michigan,1250,0,0,0
1903,Minnesota,920,0,0,0
1903,Mississippi,90,0,0,0
1903,Missouri,640,0,0,0
1903,Montana,70,0,0,0
1903,Nebraska,228,0,0,0
1903,Nevada,30,0,0,0
1903,New Hampshire,180,0,0,0
1903,New Jersey,1120,0,0,0
1903,New Mexico,30,0,0,0
1903,New York,6412,0,0,0
1903,North Carolina,190,0,0,0
1903,North Dakota,280,0,0,0
1903,Ohio,1680,0,0,0
1903,Oklahoma,40,0,0,0
1903,Oregon,320,0,0,0
1903,Pennsylvania,5280,0,0,0
1903,Rhode Island,500,0,0,0
1903,South Carolina,130,0,0,0
1903,South Dakota,200,0,0,0
1903,Tennessee,130,0,0,0
1903,Texas,440,0,0,0
1903,Utah,80,0,0,0
1903,Vermont,130,0,0,0
1903,Virginia,180,0,0,0
1903,Washington,440,0,0,0
1903,West Virginia,70,0,0,0
1903,Wisconsin,600,0,0,0
1903,Wyoming,20,0,0,0
1904,Alabama,220,0,0,0
1904,Alaska,0,0,0,0
1904,Arizona,130,0,0,0
1904,Arkansas,170,0,0,0
1904,California,5310,0,70,0
1904,Colorado,560,0,0,0
1904,Connecticut,1090,0,10,0
1904,Delaware,150,0,0,0
1904,District of Columbia,710,0,20,0
1904,Florida,90,0,0,0
1904,Georgia,530,0,0,0
1904,Hawaii,0,0,0,0
1904,Idaho,70,0,0,0
1904,Illinois,4090,0,50,0
1904,Indiana,1170,0,10,0
1904,Iowa,150,0,40,0
1904,Kansas,1330,0,20,0
1904,Kentucky,330,0,0,0
1904,Louisiana,440,0,0,0
1904,Maine,480,0,0,0
1904,Maryland,590,0,0,0
1904,Massachusetts,3810,0,30,0
1904,Michigan,2390,0,40,0
1904,Minnesota,1750,0,30,0
1904,Mississippi,190,0,0,0
1904,Missouri,1210,0,20,0
1904,Montana,140,0,0,0
1904,Nebraska,430,0,0,0
1904,Nevada,60,0,0,0
1904,New Hampshire,360,0,0,0
1904,New Jersey,2140,0,50,0
1904,New Mexico,60,0,0,0
1904,New York,6720,0,80,0
1904,North Carolina,370,0,0,0
1904,North Dakota,530,0,0,0
1904,Ohio,3200,0,40,0
1904,Oklahoma,80,0,0,0
1904,Oregon,610,0,0,0
1904,Pennsylvania,7430,0,150,0
1904,Rhode Island,960,0,0,0
1904,South Carolina,250,0,0,0
1904,South Dakota,380,0,0,0
1904,Tennessee,260,0,0,0
1904,Texas,830,0,10,0
1904,Utah,160,0,0,0
1904,Vermont,250,0,0,0
1904,Virginia,350,0,0,0
1904,Washington,840,0,10,0
1904,West Virginia,130,0,0,0
1904,Wisconsin,1050,0,20,0
1904,Wyoming,40,0,0,0
1905,Alabama,300,0,0,0
1905,Alaska,0,0,0,0
1905,Arizona,160,0,0,0
1905,Arkansas,210,0,0,0
1905,California,7890,0,130,0
1905,Colorado,790,0,10,0
1905,Connecticut,1620,0,30,0
1905,Delaware,190,0,0,0
1906,Utah,330,0,0,0
1905,District of Columbia,1060,0,30,0
1905,Florida,100,0,0,0
1905,Georgia,770,0,10,0
1905,Hawaii,0,0,0,0
1905,Idaho,80,0,0,0
1905,Illinois,6060,0,100,0
1905,Indiana,1610,0,30,0
1905,Iowa,730,0,70,0
1905,Kansas,1720,0,30,0
1905,Kentucky,450,0,0,0
1905,Louisiana,630,0,0,0
1905,Maine,690,0,0,0
1905,Maryland,840,0,10,0
1905,Massachusetts,4800,0,80,0
1905,Michigan,3550,0,60,0
1905,Minnesota,2580,0,50,0
1905,Mississippi,260,0,0,0
1905,Missouri,2260,0,40,0
1905,Montana,180,0,0,0
1905,Nebraska,560,0,10,0
1905,Nevada,70,0,0,0
1905,New Hampshire,500,0,0,0
1905,New Jersey,3570,0,70,0
1905,New Mexico,80,0,0,0
1905,New York,9070,0,160,0
1905,North Carolina,550,0,0,0
1905,North Dakota,790,0,0,0
1905,Ohio,4740,0,120,0
1905,Oklahoma,100,0,0,0
1905,Oregon,900,0,10,0
1905,Pennsylvania,8880,0,250,0
1905,Rhode Island,1400,0,30,0
1905,South Carolina,360,0,0,0
1905,South Dakota,550,0,0,0
1905,Tennessee,370,0,0,0
1905,Texas,1230,0,20,0
1905,Utah,240,0,0,0
1905,Vermont,360,0,0,0
1905,Virginia,500,0,0,0
1905,Washington,1240,0,20,0
1905,West Virginia,190,0,0,0
1905,Wisconsin,1570,0,30,0
1905,Wyoming,50,0,0,0
1906,Alabama,430,0,0,0
1906,Alaska,0,0,0,0
1906,Arizona,220,0,0,0
1906,Arkansas,290,0,0,0
1906,California,11100,0,230,0
1906,Colorado,1120,0,20,0
1906,Connecticut,2250,0,50,0
1906,Delaware,270,0,0,0
1906,District of Columbia,1480,0,40,0
1906,Florida,150,0,0,0
1906,Georgia,1090,0,20,0
1906,Hawaii,0,0,0,0
1906,Idaho,120,0,0,0
1906,Illinois,8520,0,170,0
1906,Indiana,2420,0,50,0
1906,Iowa,900,0,120,0
1906,Kansas,2750,0,60,0
1906,Kentucky,640,0,0,0
1906,Louisiana,880,0,10,0
1906,Maine,970,0,10,0
1906,Maryland,1200,0,20,0
1906,Massachusetts,6410,0,100,0
1906,Michigan,4970,0,100,0
1906,Minnesota,3630,0,80,0
1906,Mississippi,360,0,0,0
1906,Missouri,3190,0,70,0
1906,Montana,250,0,0,0
1906,Nebraska,1070,0,20,0
1906,Nevada,110,0,0,0
1906,New Hampshire,700,0,0,0
1906,New Jersey,4450,0,100,0
1906,New Mexico,120,0,0,0
1906,New York,11510,0,240,0
1906,North Carolina,780,0,10,0
1906,North Dakota,1130,0,10,0
1906,Ohio,6670,0,160,0
1906,Oklahoma,150,0,0,0
1906,Oregon,1270,0,20,0
1906,Pennsylvania,10630,0,320,0
1906,Rhode Island,1960,0,40,0
1906,South Carolina,520,0,0,0
1906,South Dakota,770,0,10,0
1906,Tennessee,530,0,0,0
1906,Texas,1710,0,30,0
1906,Vermont,520,0,0,0
1906,Virginia,720,0,10,0
1906,Washington,1740,0,30,0
1906,West Virginia,270,0,0,0
1906,Wisconsin,2550,0,50,0
1906,Wyoming,80,0,0,0
1907,Alabama,520,0,0,0
1907,Alaska,0,0,0,0
1907,Arizona,260,0,0,0
1907,Arkansas,350,0,0,0
1907,California,13770,0,280,0
1907,Colorado,1360,0,30,0
1907,Connecticut,2720,0,60,0
1907,Delaware,330,0,0,0
1907,District of Columbia,1800,0,50,0
1907,Florida,190,0,0,0
1907,Georgia,1300,0,30,0
1907,Hawaii,0,0,0,0
1907,Idaho,140,0,0,0
1907,Illinois,10310,0,220,0
1907,Indiana,2930,0,60,0
1907,Iowa,1790,0,160,0
1907,Kansas,3330,0,70,0
1907,Kentucky,780,0,10,0
1907,Louisiana,1060,0,20,0
1907,Maine,1170,0,20,0
1907,Maryland,1450,0,30,0
1907,Massachusetts,16180,0,130,0
1907,Michigan,6000,0,150,0
1907,Minnesota,4390,0,100,0
1907,Mississippi,440,0,0,0
1907,Missouri,3850,0,90,0
1907,Montana,300,0,0,0
1907,Nebraska,1870,0,40,0
1907,Nevada,130,0,0,0
1907,New Hampshire,1260,0,0,0
1907,New Jersey,5990,0,130,0
1907,New Mexico,140,0,0,0
1907,New York,13710,0,280,0
1907,North Carolina,930,0,20,0
1907,North Dakota,1360,0,20,0
1907,Ohio,8060,0,180,0
1907,Oklahoma,190,0,0,0
1907,Oregon,1540,0,40,0
1907,Pennsylvania,13650,0,400,0
1907,Rhode Island,2370,0,50,0
1907,South Carolina,650,0,10,0
1907,South Dakota,940,0,20,0
1907,Tennessee,630,0,10,0
1907,Texas,2080,0,40,0
1907,Utah,400,0,0,0
1907,Vermont,630,0,10,0
1907,Virginia,870,0,20,0
1907,Washington,2110,0,50,0
1907,West Virginia,340,0,0,0
1907,Wisconsin,3630,0,70,0
1907,Wyoming,100,0,0,0
1908,Alabama,760,0,10,0
1908,Alaska,0,0,0,0
1908,Arizona,380,0,0,0
1908,Arkansas,510,0,0,0
1908,California,19190,0,370,0
1908,Colorado,2010,0,40,0
1908,Connecticut,4030,0,90,0
1908,Delaware,490,0,0,0
1908,District of Columbia,2680,0,70,0
1908,Florida,300,0,0,0
1908,Georgia,1930,0,40,0
1908,Hawaii,0,0,0,0
1908,Idaho,220,0,0,0
1908,Illinois,15300,0,290,0
1908,Indiana,4350,0,80,0
1908,Iowa,2970,0,200,0
1908,Kansas,4940,0,90,0
1908,Kentucky,1150,0,20,0
1908,Louisiana,1570,0,30,0
1908,Maine,1740,0,30,0
1908,Maryland,2160,0,40,0
1908,Massachusetts,17630,0,360,0
1908,Michigan,8890,0,170,0
1908,Minnesota,6510,0,120,0
1908,Mississippi,650,0,10,0
1908,Missouri,5700,0,110,0
1908,Montana,450,0,0,0
1908,Nebraska,4150,0,90,0
1908,Nevada,210,0,0,0
1908,New Hampshire,1970,0,10,0
1908,New Jersey,7970,0,150,0
1908,New Mexico,220,0,0,0
1908,New York,15170,0,310,0
1908,North Carolina,1380,0,30,0
1908,North Dakota,2010,0,30,0
1908,Ohio,10430,0,220,0
1908,Oklahoma,290,0,0,0
1908,Oregon,2270,0,50,0
1908,Pennsylvania,19580,0,510,0
1908,Rhode Island,3770,0,60,0
1908,South Carolina,960,0,20,0
1908,South Dakota,1390,0,30,0
1908,Tennessee,950,0,20,0
1908,Texas,3090,0,60,0
1908,Utah,590,0,10,0
1908,Vermont,930,0,20,0
1908,Virginia,1290,0,30,0
1908,Washington,3130,0,70,0
1908,West Virginia,500,0,0,0
1908,Wisconsin,5490,0,110,0
1908,Wyoming,150,0,0,0
1909,Alabama,1180,0,20,0
1909,Alaska,0,0,0,0
1909,Arizona,580,0,10,0
1909,Arkansas,790,0,0,0
1909,California,28040,0,590,0
1909,Colorado,3130,0,60,0
1909,Connecticut,6260,0,120,0
1909,Delaware,750,0,10,0
1909,District of Columbia,4030,0,90,0
1909,Florida,450,0,10,0
1909,Georgia,2990,0,60,0
1909,Hawaii,0,0,0,0
1909,Idaho,320,0,0,0
1909,Illinois,23770,0,460,0
1909,Indiana,6740,0,130,0
1909,Iowa,5200,0,310,0
1909,Kansas,7660,0,140,0
1909,Kentucky,1800,0,40,0
1909,Louisiana,2440,0,50,0
1909,Maine,2750,0,50,0
1909,Maryland,3350,0,60,0
1909,Massachusetts,23270,0,460,0
1909,Michigan,14030,0,240,0
1909,Minnesota,10220,0,190,0
1909,Mississippi,1010,0,20,0
1909,Missouri,8750,0,160,0
1909,Montana,700,0,10,0
1909,Nebraska,7010,0,140,0
1909,Nevada,310,0,0,0
1909,New Hampshire,2720,0,20,0
1909,New Jersey,12400,0,230,0
1909,New Mexico,320,0,0,0
1909,New York,23600,0,460,0
1909,North Carolina,2150,0,40,0
1909,North Dakota,3130,0,40,0
1909,Ohio,22520,0,480,0
1909,Oklahoma,450,0,10,0
1909,Oregon,3540,0,70,0
1909,Pennsylvania,33700,0,650,0
1909,Rhode Island,5640,0,80,0
1909,South Carolina,1500,0,30,0
1909,South Dakota,2170,0,40,0
1909,Tennessee,1480,0,30,0
1909,Texas,4790,0,90,0
1909,Utah,910,0,20,0
1909,Vermont,1440,0,30,0
1909,Virginia,2000,0,40,0
1909,Washington,4860,0,90,0
1909,West Virginia,680,0,10,0
1909,Wisconsin,8190,0,160,0
1909,Wyoming,230,0,0,0
1910,Alabama,1740,0,40,0
1910,Alaska,0,0,0,0
1910,Arizona,820,0,20,0
1910,Arkansas,1150,0,0,0
1910,California,43210,0,910,0
1910,Colorado,4590,0,90,0
1910,Connecticut,9200,0,180,0
1910,Delaware,940,0,20,0
1910,District of Columbia,6200,0,120,0
1910,Florida,660,0,20,0
1910,Georgia,4400,0,90,0
1910,Hawaii,0,0,0,0
1910,Idaho,460,0,10,0
1910,Illinois,34860,0,700,0
1910,Indiana,9910,0,200,0
1910,Iowa,9930,0,480,0
1910,Kansas,10270,0,220,0
1910,Kentucky,2630,0,50,0
1910,Louisiana,3580,0,70,0
1910,Maine,3960,0,80,0
1910,Maryland,5490,0,100,0
1910,Massachusetts,30590,0,660,0
1910,Michigan,20270,0,400,0
1910,Minnesota,14850,0,300,0
1910,Mississippi,1490,0,30,0
1910,Missouri,12010,0,260,0
1910,Montana,1010,0,20,0
1910,Nebraska,11100,0,240,0
1910,Nevada,450,0,10,0
1910,New Hampshire,3450,0,60,0
1910,New Jersey,16160,0,360,0
1910,New Mexico,460,0,10,0
1910,New York,61340,0,1320,0
1910,North Carolina,3160,0,60,0
1910,North Dakota,4600,0,50,0
1910,Ohio,32210,0,730,0
1910,Oklahoma,660,0,20,0
1910,Oregon,5210,0,100,0
1910,Pennsylvania,36277,0,1073,0
1910,Rhode Island,5790,0,120,0
1910,South Carolina,2200,0,50,0
1910,South Dakota,3180,0,60,0
1910,Tennessee,2190,0,40,0
1910,Texas,7040,0,140,0
1910,Utah,1320,0,30,0
1910,Vermont,2140,0,40,0
1910,Virginia,2950,0,60,0
1910,Washington,7170,0,140,0
1910,West Virginia,860,0,20,0
1910,Wisconsin,13890,0,310,0
1910,Wyoming,350,0,10,0
1911,Alabama,2320,0,70,0
1911,Alaska,0,0,0,0
1911,Arizona,1110,0,40,0
1911,Arkansas,1530,0,10,0
1911,California,58890,0,1890,0
1911,Colorado,6110,0,190,0
1911,Connecticut,12260,0,380,0
1911,Delaware,1340,0,40,0
1911,District of Columbia,8130,0,150,0
1911,Florida,880,0,30,0
1911,Georgia,5870,0,190,0
1911,Hawaii,0,0,0,0
1911,Idaho,630,0,20,0
1911,Illinois,36810,0,1460,0
1911,Indiana,13210,0,420,0
1911,Iowa,28980,0,1020,0
1911,Kansas,15020,0,470,0
1911,Kentucky,3520,0,110,0
1911,Louisiana,4790,0,150,0
1911,Maine,5290,0,170,0
1911,Maryland,8740,0,230,0
1911,Massachusetts,37100,0,1210,0
1911,Michigan,27140,0,850,0
1911,Minnesota,19810,0,620,0
1911,Mississippi,1970,0,60,0
1911,Missouri,16420,0,520,0
1911,Montana,1360,0,50,0
1911,Nebraska,17930,0,570,0
1911,Nevada,610,0,20,0
1911,New Hampshire,4410,0,120,0
1911,New Jersey,24210,0,760,0
1911,New Mexico,620,0,20,0
1911,New York,81370,0,2600,0
1911,North Carolina,4220,0,130,0
1911,North Dakota,5920,0,60,0
1911,Ohio,44240,0,1550,0
1911,Oklahoma,1240,0,30,0
1911,Oregon,6940,0,220,0
1911,Pennsylvania,41167,0,2113,0
1911,Rhode Island,7060,0,200,0
1911,South Carolina,2940,0,90,0
1911,South Dakota,4240,0,130,0
1911,Tennessee,2950,0,60,0
1911,Texas,9400,0,430,0
1911,Utah,1400,0,60,0
1911,Vermont,2850,0,90,0
1911,Virginia,3940,0,120,0
1911,Washington,9550,0,300,0
1911,West Virginia,1170,0,50,0
1911,Wisconsin,20640,0,680,0
1911,Wyoming,480,0,20,0
1912,Alabama,3260,0,170,0
1912,Alaska,0,0,0,0
1912,Arizona,1720,0,100,0
1912,Arkansas,1870,0,20,0
1912,California,88990,0,2200,0
1912,Colorado,8600,0,420,0
1912,Connecticut,17250,0,1280,0
1912,Delaware,1650,0,80,0
1912,District of Columbia,11440,0,180,0
1912,Florida,1940,0,90,0
1912,Georgia,12950,0,620,0
1912,Hawaii,0,0,0,0
1912,Idaho,1370,0,60,0
1912,Illinois,65910,0,2100,0
1912,Indiana,29120,0,1420,0
1912,Iowa,44990,0,2200,0
1912,Kansas,21140,0,1060,0
1912,Kentucky,4950,0,250,0
1912,Louisiana,6720,0,320,0
1912,Maine,7440,0,340,0
1912,Maryland,12430,0,660,0
1912,Massachusetts,47440,0,2210,0
1912,Michigan,38030,0,2420,0
1912,Minnesota,27860,0,1110,0
1912,Mississippi,2780,0,130,0
1912,Missouri,23430,0,1360,0
1912,Montana,1920,0,250,0
1912,Nebraska,22920,0,1020,0
1912,Nevada,960,0,40,0
1912,New Hampshire,5420,0,450,0
1912,New Jersey,33870,0,1540,0
1912,New Mexico,870,0,60,0
1912,New York,102540,0,4720,0
1912,North Carolina,5940,0,270,0
1912,North Dakota,8620,0,70,0
1912,Ohio,60350,0,2780,0
1912,Oklahoma,2900,0,90,0
1912,Oregon,9770,0,440,0
1912,Pennsylvania,54386,0,3834,0
1912,Rhode Island,8730,0,630,0
1912,South Carolina,6670,0,450,0
1912,South Dakota,9350,0,240,0
1912,Tennessee,6470,0,70,0
1912,Texas,20710,0,700,0
1912,Utah,1500,0,120,0
1912,Vermont,4020,0,180,0
1912,Virginia,5540,0,250,0
1912,Washington,13450,0,1610,0
1912,West Virginia,1860,0,150,0
1912,Wisconsin,28530,0,1580,0
1912,Wyoming,1020,0,60,0
1913,Alabama,4370,0,400,0
1913,Alaska,0,0,0,0
1913,Arizona,3450,0,130,0
1913,Arkansas,3550,0,30,0
1913,California,117220,0,2500,0
1913,Colorado,12480,0,660,0
1913,Connecticut,19120,0,1840,0
1913,Delaware,2160,0,190,0
1913,District of Columbia,12940,0,200,0
1913,Florida,2470,0,110,0
1913,Georgia,16480,0,710,0
1913,Hawaii,0,0,0,0
1913,Idaho,2010,0,70,0
1913,Illinois,91800,0,2850,0
1913,Indiana,37080,0,1970,0
1913,Iowa,72480,0,2590,0
1913,Kansas,38680,0,1210,0
1913,Kentucky,5940,0,350,0
1913,Louisiana,8250,0,360,0
1913,Maine,10290,0,390,0
1913,Maryland,16870,0,1000,0
1913,Massachusetts,58040,0,4770,0
1913,Michigan,44810,0,2950,0
1913,Minnesota,36130,0,1340,0
1913,Mississippi,3170,0,140,0
1913,Missouri,31440,0,1870,0
1913,Montana,5470,0,450,0
1913,Nebraska,24280,0,1340,0
1913,Nevada,1010,0,50,0
1913,New Hampshire,5970,0,790,0
1913,New Jersey,40460,0,3500,0
1913,New Mexico,1560,0,70,0
1913,New York,124160,0,10230,0
1913,North Carolina,8250,0,350,0
1913,North Dakota,12520,0,80,0
1913,Ohio,81160,0,5000,0
1913,Oklahoma,6040,0,120,0
1913,Oregon,11520,0,1000,0
1913,Pennsylvania,70583,0,8317,0
1913,Rhode Island,10330,0,980,0
1913,South Carolina,8250,0,600,0
1913,South Dakota,11910,0,300,0
1913,Tennessee,8250,0,80,0
1913,Texas,26360,0,900,0
1913,Utah,1620,0,140,0
1913,Vermont,4870,0,220,0
1913,Virginia,7440,0,330,0
1913,Washington,19930,0,2070,0
1913,West Virginia,2720,0,240,0
1913,Wisconsin,43200,0,1800,0
1913,Wyoming,1300,0,80,0
1914,Alabama,8557,0,600,742
1914,Alaska,0,0,0,0
1914,Arizona,4840,0,200,743
1914,Arkansas,5602,0,40,0
1914,California,120504,0,3000,24709
1914,Colorado,16856,0,900,3683
1914,Connecticut,26145,0,2968,3476
1914,Delaware,2750,0,300,321
1914,District of Columbia,17000,0,250,0
1914,Florida,3168,0,200,0
1914,Georgia,20115,0,800,0
1914,Hawaii,0,0,0,0
1914,Idaho,3266,0,80,396
1914,Illinois,128140,0,3000,14852
1914,Indiana,64000,0,2500,10403
1914,Iowa,103087,0,3000,7318
1914,Kansas,47874,0,1500,8068
1914,Kentucky,11166,0,600,0
1914,Louisiana,11600,0,400,0
1914,Maine,15065,0,635,727
1914,Maryland,18269,0,1944,3989
1914,Massachusetts,69010,0,8236,8161
1914,Michigan,72389,0,4000,0
1914,Minnesota,66362,0,1500,0
1914,Mississippi,5494,0,200,0
1914,Missouri,51968,0,2500,0
1914,Montana,9300,0,900,0
1914,Nebraska,39429,0,1500,1555
1914,Nevada,1437,0,50,0
1914,New Hampshire,8410,0,1161,0
1914,New Jersey,56961,0,6000,10029
1914,New Mexico,4377,0,180,334
1914,New York,150898,0,17325,0
1914,North Carolina,14177,0,500,1300
1914,North Dakota,17247,0,100,1255
1914,Ohio,116504,0,6000,20647
1914,Oklahoma,13300,0,200,0
1914,Oregon,14865,0,1582,2899
1914,Pennsylvania,98757,0,14097,14592
1914,Rhode Island,11033,0,1298,1199
1914,South Carolina,13200,0,800,0
1914,South Dakota,20529,0,400,1723
1914,Tennessee,19669,0,100,0
1914,Texas,39000,0,1000,0
1914,Utah,2103,0,150,0
1914,Vermont,8256,0,219,415
1914,Virginia,13284,0,700,1529
1914,Washington,27253,0,3000,0
1914,West Virginia,5859,0,300,0
1914,Wisconsin,62600,0,2000,7880
1914,Wyoming,2328,0,100,0
1915,Alabama,10666,0,968,1259
1915,Alaska,0,0,0,0
1915,Arizona,7318,0,435,772
1915,Arkansas,7956,0,65,0
1915,California,156795,0,7000,26401
1915,Colorado,27251,0,1643,4268
1915,Connecticut,33875,0,7246,4300
1915,Delaware,4552,0,500,510
1915,District of Columbia,19000,0,500,0
1915,Florida,10000,0,850,300
1915,Georgia,24000,0,1000,0
1915,Hawaii,0,0,0,0
1915,Idaho,6926,0,145,627
1915,Illinois,173832,0,7000,15710
1915,Indiana,92915,0,4000,11225
1915,Iowa,140109,0,5000,7440
1915,Kansas,70020,0,2500,8269
1915,Kentucky,18500,0,1000,1406
1915,Louisiana,10880,0,500,450
1915,Maine,20482,0,1063,956
1915,Maryland,26458,0,4589,4750
1915,Massachusetts,90673,0,11960,9520
1915,Michigan,108845,0,6000,8051
1915,Minnesota,90769,0,2500,8000
1915,Mississippi,9269,0,400,225
1915,Missouri,72462,0,4000,0
1915,Montana,13213,0,1307,850
1915,Nebraska,57000,0,2000,3000
1915,Nevada,1909,0,100,0
1915,New Hampshire,12501,0,948,1555
1915,New Jersey,72448,0,9400,11616
1915,New Mexico,6706,0,350,387
1915,New York,231831,0,23411,0
1915,North Carolina,20200,0,800,1400
1915,North Dakota,24708,0,200,1507
1915,Ohio,170332,0,11000,22145
1915,Oklahoma,24532,0,500,1758
1915,Oregon,22585,0,1000,3158
1915,Pennsylvania,141087,0,19050,17112
1915,Rhode Island,14733,0,1629,1421
1915,South Carolina,14000,0,1000,0
1915,South Dakota,28124,0,600,1862
1915,Tennessee,25000,0,1200,50
1915,Texas,39000,0,1000,0
1915,Utah,8577,0,600,1183
1915,Vermont,11141,0,358,523
1915,Virginia,20157,0,1200,1664
1915,Washington,32634,0,6189,5098
1915,West Virginia,12679,0,600,0
